UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
P31997;CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: bone marrow
P32004;L1CAM;Neural cell adhesion molecule L1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: brain, intestine
P32456;GBP2;Guanylate-binding protein 2;Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Low tissue specificity
P32926;DSG3;Desmoglein-3;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: esophagus, lymphoid tissue, vagina
P32942;ICAM3;Intercellular adhesion molecule 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: bone marrow, liver, lymphoid tissue
P33151;CDH5;Cadherin-5;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: placenta
P33241;LSP1;Lymphocyte-specific protein 1;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: adrenal gland, lymphoid tissue
P34130;NTF4;Neurotrophin-4;Olink Explore Oncology, Olink Target 96 Immune Response;Tissue enhanced: prostate, skeletal muscle, skin 1
P35052;GPC1;Glypican-1;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: skin 1
P35070;BTC;Probetacellulin;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: intestine
P35218;CA5A;Carbonic anhydrase 5A, mitochondrial;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: liver
P35237;SERPINB6;Serpin B6;Olink Explore Neurology, Olink Target 96 Metabolism;Low tissue specificity
P35247;SFTPD;Pulmonary surfactant-associated protein D;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: lung
P35318;ADM;Pro-adrenomedullin;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enhanced: adipose tissue
P35442;THBS2;Thrombospondin-2;Olink Explore Neurology, Olink Target 96 Cardiovascular II;Low tissue specificity
P35443;THBS4;Thrombospondin-4;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue, heart muscle, smooth muscle, tongue
P35475;IDUA;Alpha-L-iduronidase;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Low tissue specificity
P35590;TIE1;Tyrosine-protein kinase receptor Tie-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P35637;FUS;RNA-binding protein FUS;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P35754;GLRX;Glutaredoxin-1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: skeletal muscle
P35916;FLT4;Vascular endothelial growth factor receptor 3;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P36222;CHI3L1;Chitinase-3-like protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: brain, liver
P36269;GGT5;Glutathione hydrolase 5 proenzyme;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P36888;FLT3;Receptor-type tyrosine-protein kinase FLT3;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: bone marrow, brain, lymphoid tissue
P36941;LTBR;Tumor necrosis factor receptor superfamily member 3;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Low tissue specificity
P37023;ACVRL1;Serine/threonine-protein kinase receptor R3;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: lung
P37108;SRP14;Signal recognition particle 14 kDa protein;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P37173;TGFBR2;TGF-beta receptor type-2;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P38484;IFNGR2;Interferon gamma receptor 2;Olink Explore Neurology, Olink Target 96 Oncology III;Low tissue specificity
P38936;CDKN1A;Cyclin-dependent kinase inhibitor 1;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P39060;COL18A1;Collagen alpha-1(XVIII) chain;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: liver
P40121;CAPG;Macrophage-capping protein;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
P40198;CEACAM3;Carcinoembryonic antigen-related cell adhesion molecule 3;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enriched: bone marrow
P40222;TXLNA;Alpha-taxilin;Olink Explore Neurology, Olink Target 96 Oncology II;Low tissue specificity
P40225;THPO;Thrombopoietin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: liver
P40259;CD79B;B-cell antigen receptor complex-associated protein beta chain;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enriched: lymphoid tissue
P40818;USP8;Ubiquitin carboxyl-terminal hydrolase 8;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P41159;LEP;Leptin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Group enriched: adipose tissue, breast
P41208;CETN2;Centrin-2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: fallopian tube
P41217;CD200;OX-2 membrane glycoprotein;Olink Explore Inflammation, Olink Target 96 Neurology;Low tissue specificity
P41236;PPP1R2;Protein phosphatase inhibitor 2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P41271;NBL1;Neuroblastoma suppressor of tumorigenicity 1;Olink Explore Oncology, Olink Target 96 Neurology;Low tissue specificity
P41439;FOLR3;Folate receptor gamma;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: bone marrow, lymphoid tissue
P42331;ARHGAP25;Rho GTPase-activating protein 25;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue
P42574;CASP3;Caspase-3;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P42575;CASP2;Caspase-2;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
P42658;DPP6;Dipeptidyl aminopeptidase-like protein 6;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: brain, endometrium 1
P42702;LIFR;Leukemia inhibitory factor receptor;Olink Explore Inflammation, Olink Target 96 Inflammation;Low tissue specificity
P42768;WAS;Actin nucleation-promoting factor WAS;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: bone marrow, lymphoid tissue
P42785;PRCP;Lysosomal Pro-X carboxypeptidase;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P42892;ECE1;Endothelin-converting enzyme 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P43234;CTSO;Cathepsin O;Olink Explore Inflammation, Olink Target 96 Metabolism;Low tissue specificity
P43490;NAMPT;Nicotinamide phosphoribosyltransferase;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P43628;KIR2DL3;Killer cell immunoglobulin-like receptor 2DL3;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: lymphoid tissue
P46109;CRKL;Crk-like protein;Olink Explore Inflammation, Olink Target 96 Metabolism;Low tissue specificity
P46379;BAG6;Large proline-rich protein BAG6;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P46531;NOTCH1;Neurogenic locus notch homolog protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P47712;PLA2G4A;Cytosolic phospholipase A2;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: parathyroid gland, seminal vesicle
P47929;LGALS7, LGALS7B;Galectin-7;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: esophagus, skin 1, Tissue enriched: skin 1
P47992;XCL1;Lymphotactin;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue
P48052;CPA2;Carboxypeptidase A2;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: pancreas
P48307;TFPI2;Tissue factor pathway inhibitor 2;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: placenta
P48357;LEPR;Leptin receptor;Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory;Tissue enriched: liver
P48643;CCT5;T-complex protein 1 subunit epsilon;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P48740;MASP1;Mannan-binding lectin serine protease 1;Olink Explore Neurology, Olink Target 96 Immune Response;Tissue enhanced: heart muscle, liver
P48745;CCN3;CCN family member 3;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enriched: adrenal gland
P48960;ADGRE5;Adhesion G protein-coupled receptor E5;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: bone marrow
P49023;PXN;Paxillin;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
P49441;INPP1;Inositol polyphosphate 1-phosphatase;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P49747;COMP;Cartilage oligomeric matrix protein;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue, skin 1
P49788;RARRES1;Retinoic acid receptor responder protein 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: fallopian tube, salivary gland
P49789;FHIT;Bis(5'-adenosyl)-triphosphatase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: choroid plexus
P50135;HNMT;Histamine N-methyltransferase;Olink Explore Neurology, Olink Target 96 Immune Response;Tissue enhanced: liver
P50225;SULT1A1;Sulfotransferase 1A1;Olink Explore Neurology, Olink Target 96 Inflammation;Tissue enhanced: intestine, liver
P50452;SERPINB8;Serpin B8;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enhanced: skin 1
P50579;METAP2;Methionine aminopeptidase 2;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P50749;RASSF2;Ras association domain-containing protein 2;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: brain, retina
P50895;BCAM;Basal cell adhesion molecule;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: kidney
P50995;ANXA11;Annexin A11;Olink Explore Inflammation, Olink Target 96 Metabolism;Low tissue specificity
P51161;FABP6;Gastrotropin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: intestine
P51452;DUSP3;Dual specificity protein phosphatase 3;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: skeletal muscle
P51580;TPMT;Thiopurine S-methyltransferase;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: kidney, liver, thyroid gland
P51617;IRAK1;Interleukin-1 receptor-associated kinase 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P51693;APLP1;Amyloid beta precursor like protein 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: brain
P51858;HDGF;Hepatoma-derived growth factor;Olink Explore Oncology, Olink Target 96 Metabolism;Low tissue specificity
P51888;PRELP;Prolargin;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Low tissue specificity
P52564;MAP2K6;Dual specificity mitogen-activated protein kinase kinase 6;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Tissue enhanced: skeletal muscle
P52798;EFNA4;Ephrin-A4;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: skin 1
P52823;STC1;Stanniocalcin-1;Olink Explore Neurology, Olink Target 96 Immune Response;Tissue enhanced: thyroid gland
P52888;THOP1;Thimet oligopeptidase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P52943;CRIP2;Cysteine-rich protein 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: heart muscle
P53539;FOSB;Protein FosB;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
P53582;METAP1;Methionine aminopeptidase 1;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
P53634;CTSC;Dipeptidyl peptidase 1;Olink Explore Inflammation, Olink Target 96 Neurology;Low tissue specificity
P54760;EPHB4;Ephrin type-B receptor 4;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P55008;AIF1;Allograft inflammatory factor 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: bone marrow, lymphoid tissue
P55039;DRG2;Developmentally-regulated GTP-binding protein 2;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P55058;PLTP;Phospholipid transfer protein;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P55103;INHBC;Inhibin beta C chain;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: liver
P55145;MANF;Mesencephalic astrocyte-derived neurotrophic factor;Olink Explore Inflammation, Olink Target 96 Neurology;Low tissue specificity
P55285;CDH6;Cadherin-6;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enhanced: kidney
P55291;CDH15;Cadherin-15;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: brain, skeletal muscle
P55774;CCL18;C-C motif chemokine 18;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: lung
P55789;GFER;FAD-linked sulfhydryl oxidase ALR;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P55808;XG;Glycoprotein Xg;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: skin 1
P55957;BID;BH3-interacting domain death agonist;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: bone marrow
P56159;GFRA1;GDNF family receptor alpha-1;Olink Explore Oncology, Olink Target 96 Neurology;Low tissue specificity
P56279;TCL1A;T-cell leukemia/lymphoma protein 1A;Olink Explore Neurology, Olink Target 96 Oncology II;Tissue enriched: lymphoid tissue
P56470;LGALS4;Galectin-4;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enriched: intestine
P57087;JAM2;Junctional adhesion molecule B;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: placenta
P57771;RGS8;Regulator of G-protein signaling 8;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Group enriched: brain, retina
P58294;PROK1;Prokineticin-1;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Group enriched: ovary, placenta, testis
P58417;NXPH1;Neurexophilin-1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: adrenal gland, brain
P58499;FAM3B;Protein FAM3B;Olink Explore Oncology, Olink Target 96 Immune Response;Tissue enhanced: intestine, pancreas, salivary gland, stomach 1
P59665;DEFA1, DEFA1B;Neutrophil defensin 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: bone marrow, Tissue enriched: bone marrow
P61244;MAX;Protein max;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
P62166;NCS1;Neuronal calcium sensor 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: brain
P63098;PPP3R1;Calcineurin subunit B type 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: retina
P63241;EIF5A;Eukaryotic translation initiation factor 5A-1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P63313;TMSB10;Thymosin beta-10;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
P68106;FKBP1B;Peptidyl-prolyl cis-trans isomerase FKBP1B;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: brain
P78310;CXADR;Coxsackievirus and adenovirus receptor;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P78324;SIRPA;Tyrosine-protein phosphatase non-receptor type substrate 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: brain
P78325;ADAM8;Disintegrin and metalloproteinase domain-containing protein 8;Olink Explore Neurology, Olink Target 96 Oncology II;Tissue enhanced: bone marrow, lymphoid tissue
P78333;GPC5;Glypican-5;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, kidney, testis
P78362;SRPK2;SRSF protein kinase 2;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: testis
P78410;BTN3A2;Butyrophilin subfamily 3 member A2;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
P78552;IL13RA1;Interleukin-13 receptor subunit alpha-1;Olink Explore Oncology, Olink Target 96 Development;Low tissue specificity
P78560;CRADD;Death domain-containing protein CRADD;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P80162;CXCL6;C-X-C motif chemokine 6;Olink Explore Inflammation, Olink Target 96 Inflammation;Group enriched: gallbladder, lymphoid tissue, urinary bladder
P80188;LCN2;Neutrophil gelatinase-associated lipocalin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow, gallbladder, salivary gland
P80303;NUCB2;Nucleobindin-2;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: pancreas, salivary gland
P80370;DLK1;Protein delta homolog 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: adrenal gland, pituitary gland, placenta
P80511;S100A12;Protein S100-A12;Olink Explore Oncology, Olink Target 96 Inflammation;Tissue enriched: bone marrow
P98073;TMPRSS15;Enteropeptidase;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enriched: intestine
P98082;DAB2;Disabled homolog 2;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enhanced: kidney, placenta
